group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.607,0.281,0.106,0.005,0.888,6.57,3.19
A,South Korea,0.343,0.491,0.143,0.023,0.834,5.99,1.42
A,Czech Republic,0.042,0.162,0.526,0.27,0.204,2.76,-0.94
A,South Africa,0.008,0.066,0.225,0.702,0.074,1.63,-3.68
B,Switzerland,0.436,0.27,0.233,0.061,0.706,4.69,1.41
B,Canada,0.356,0.337,0.218,0.088,0.694,4.52,1.35
B,Bosnia and Herzegovina,0.177,0.291,0.341,0.192,0.468,3.78,0.01
B,Qatar,0.03,0.102,0.208,0.66,0.132,2.09,-2.77
C,Brazil,0.572,0.287,0.124,0.016,0.859,5.87,3.92
C,Morocco,0.28,0.456,0.216,0.048,0.736,5.24,2.33
C,Scotland,0.144,0.248,0.576,0.032,0.392,4.47,-1.03
C,Haiti,0.004,0.009,0.083,0.904,0.013,0.68,-5.22
D,United States,0.735,0.172,0.082,0.01,0.908,6.46,4.1
D,Australia,0.197,0.447,0.284,0.073,0.643,4.84,0.63
D,Turkey,0.049,0.211,0.376,0.364,0.26,3.02,-1.6
D,Paraguay,0.019,0.17,0.258,0.553,0.189,2.62,-3.13
E,Germany,0.657,0.236,0.099,0.008,0.893,6.77,5.35
E,Ecuador,0.194,0.4,0.357,0.049,0.594,4.83,1.39
E,Ivory Coast,0.146,0.344,0.443,0.066,0.49,4.43,0.7
E,Curaçao,0.003,0.02,0.101,0.877,0.022,0.82,-7.43
F,Netherlands,0.52,0.272,0.143,0.065,0.792,5.79,2.53
F,Japan,0.276,0.335,0.249,0.14,0.611,4.64,0.77
F,Sweden,0.145,0.253,0.335,0.266,0.398,3.62,-0.77
F,Tunisia,0.058,0.14,0.273,0.529,0.199,2.4,-2.53
G,Belgium,0.686,0.209,0.079,0.026,0.895,6.63,3.96
G,Egypt,0.173,0.376,0.287,0.164,0.549,4.22,0.12
G,Iran,0.103,0.282,0.367,0.249,0.385,3.52,-0.97
G,New Zealand,0.038,0.134,0.267,0.562,0.171,2.17,-3.11
H,Spain,0.767,0.199,0.029,0.005,0.966,7.38,6.2
H,Uruguay,0.203,0.574,0.171,0.052,0.777,5.2,1.65
H,Cape Verde,0.016,0.116,0.403,0.466,0.131,2.19,-4.0
H,Saudi Arabia,0.014,0.111,0.397,0.478,0.126,2.11,-3.85
I,France,0.622,0.266,0.1,0.013,0.887,6.66,4.3
I,Norway,0.258,0.416,0.275,0.051,0.674,5.08,1.82
I,Senegal,0.114,0.284,0.474,0.128,0.398,3.94,-0.29
I,Iraq,0.006,0.034,0.152,0.808,0.04,1.11,-5.84
J,Argentina,0.679,0.225,0.079,0.017,0.904,6.79,4.31
J,Austria,0.205,0.419,0.287,0.09,0.624,4.69,1.01
J,Algeria,0.101,0.291,0.436,0.172,0.392,3.75,-0.55
J,Jordan,0.015,0.066,0.198,0.721,0.081,1.49,-4.77
K,Portugal,0.589,0.305,0.084,0.022,0.894,6.48,3.92
K,Colombia,0.344,0.452,0.154,0.049,0.796,5.54,2.22
K,DR Congo,0.04,0.138,0.417,0.405,0.178,2.55,-2.69
K,Uzbekistan,0.027,0.104,0.345,0.524,0.131,2.12,-3.45
L,England,0.662,0.236,0.078,0.024,0.898,6.63,4.05
L,Croatia,0.242,0.444,0.22,0.094,0.686,4.89,1.1
L,Ghana,0.058,0.188,0.39,0.364,0.246,2.85,-2.11
L,Panama,0.038,0.132,0.313,0.518,0.169,2.26,-3.03
