group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.56,0.254,0.131,0.055,0.814,5.92,2.66
A,South Korea,0.191,0.298,0.295,0.216,0.49,4.0,-0.12
A,Czech Republic,0.185,0.293,0.3,0.222,0.478,3.94,-0.19
A,South Africa,0.064,0.155,0.274,0.506,0.219,2.51,-2.35
B,Switzerland,0.538,0.3,0.131,0.031,0.838,6.14,3.29
B,Canada,0.333,0.395,0.213,0.059,0.727,5.31,1.89
B,Bosnia and Herzegovina,0.113,0.243,0.444,0.2,0.356,3.63,-0.75
B,Qatar,0.017,0.062,0.212,0.709,0.079,1.55,-4.43
C,Brazil,0.693,0.221,0.075,0.011,0.914,6.88,4.91
C,Morocco,0.2,0.447,0.279,0.074,0.647,4.82,1.13
C,Scotland,0.099,0.279,0.454,0.168,0.378,3.71,-0.63
C,Haiti,0.009,0.053,0.192,0.747,0.061,1.36,-5.42
D,United States,0.383,0.289,0.203,0.126,0.672,5.01,1.33
D,Turkey,0.352,0.296,0.217,0.134,0.649,4.87,1.13
D,Paraguay,0.17,0.246,0.306,0.278,0.416,3.68,-0.54
D,Australia,0.094,0.169,0.274,0.463,0.263,2.79,-1.92
E,Germany,0.656,0.238,0.099,0.007,0.893,6.78,5.29
E,Ecuador,0.203,0.412,0.339,0.046,0.614,4.9,1.5
E,Ivory Coast,0.139,0.331,0.461,0.069,0.47,4.35,0.59
E,Curaçao,0.003,0.019,0.101,0.878,0.022,0.81,-7.38
F,Netherlands,0.518,0.271,0.144,0.066,0.789,5.77,2.5
F,Japan,0.272,0.332,0.251,0.145,0.604,4.61,0.71
F,Sweden,0.149,0.256,0.334,0.261,0.405,3.65,-0.71
F,Tunisia,0.06,0.141,0.271,0.528,0.201,2.42,-2.5
G,Belgium,0.68,0.213,0.081,0.026,0.892,6.6,3.93
G,Egypt,0.178,0.374,0.286,0.162,0.552,4.24,0.17
G,Iran,0.104,0.28,0.365,0.251,0.384,3.52,-0.99
G,New Zealand,0.038,0.134,0.268,0.56,0.172,2.18,-3.12
H,Spain,0.772,0.195,0.028,0.005,0.967,7.39,6.26
H,Uruguay,0.199,0.574,0.172,0.055,0.773,5.16,1.6
H,Cape Verde,0.015,0.118,0.405,0.462,0.133,2.19,-3.95
H,Saudi Arabia,0.015,0.112,0.396,0.478,0.127,2.12,-3.91
I,France,0.619,0.267,0.1,0.013,0.887,6.65,4.21
I,Norway,0.259,0.411,0.275,0.055,0.67,5.06,1.75
I,Senegal,0.115,0.285,0.467,0.134,0.4,3.93,-0.3
I,Iraq,0.007,0.037,0.158,0.799,0.043,1.15,-5.67
J,Argentina,0.675,0.228,0.08,0.017,0.903,6.76,4.29
J,Austria,0.21,0.421,0.282,0.086,0.631,4.73,1.07
J,Algeria,0.1,0.286,0.438,0.176,0.386,3.72,-0.61
J,Jordan,0.015,0.065,0.2,0.72,0.08,1.49,-4.75
K,Portugal,0.589,0.304,0.085,0.022,0.893,6.46,3.93
K,Colombia,0.343,0.451,0.155,0.051,0.794,5.53,2.2
K,DR Congo,0.039,0.138,0.414,0.408,0.177,2.54,-2.7
K,Uzbekistan,0.029,0.106,0.346,0.519,0.135,2.14,-3.44
L,England,0.662,0.237,0.077,0.024,0.898,6.63,4.08
L,Croatia,0.241,0.441,0.222,0.095,0.683,4.88,1.1
L,Ghana,0.061,0.195,0.395,0.349,0.256,2.92,-2.02
L,Panama,0.036,0.127,0.306,0.532,0.163,2.2,-3.15
